subject_code,name,level
H1GP,GP,H1
H1MATH,MATH,H1
H2MATH,MATH,H2
H3MATH,MATH,H3
H2FMATH,FM,H2
H2COMP,COMP,H2
H1PHY,PHY,H1
H2PHY,PHY,H2
H3PHY,PHY,H3
H1CHEM,CHEM,H1
H2CHEM,CHEM,H2
H3CHEM,CHEM,H3
H1ECON,ECONS,H1
H2ECON,ECONS,H2
H3ECON,ECONS,H3
H1BIO,BIO,H1
H2BIO,BIO,H2
H3BIO,BIO,H3
H1GEO,GEO,H1
H2GEO,GEO,H2
H3GEO,GEO,H3
H1HIST,HIST,H1
H2HIST,HIST,H2
H3HIST,HIST,H3
H1ELIT,ELIT,H1
H2ELIT,ELIT,H2
H3ELIT,ELIT,H3
H2ART,ART,H2
H2CLTRANS,CLTRANS,H2
H1CL,CL,H1
H1ML,ML,H1
H1TL,TL,H1
H2CLL,CLL,H2
H1CLB,CLB,H1
H1PW,PW,H1
H1PUNJ,PUNJABI,H1
H1HIND,HINDI,H1
H1BENG,BENGALESE,H1
H1JAP,JAPANESE,H1